Interaction,Gene 1, Gene 2,Mechismo Score
HIST1H2BH	H2AFJ,HIST1H2BH,H2AFJ,2.743030
IGF2	IGFBP6,IGF2,IGFBP6,2.790000
HLA-C	LILRA2,HLA-C,LILRA2,1.710000
IGF2	IGFBP5,IGF2,IGFBP5,1.290000
EFNA5	EPHA4,EFNA5,EPHA4,1.850000
NOTCH2	JAG2,NOTCH2,JAG2,1.800000
HIST1H2AD	HIST1H3E,HIST1H2AD,HIST1H3E,1.320000
BLM	WRN,BLM,WRN,1.970000
GNAL	GNB1,GNAL,GNB1,3.720000
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,2.997910
CHM	RABGGTA,CHM,RABGGTA,4.010000
ARHGDIB	RAC1,ARHGDIB,RAC1,3.947890
RPS27A	HUWE1,RPS27A,HUWE1,2.330000
ARF1	COPG1,ARF1,COPG1,1.070000
SOCS3	ELOC,SOCS3,ELOC,1.590000
GNG2	GNB1,GNG2,GNB1,1.240000
COL8A2	COL8A1,COL8A2,COL8A1,2.070000
UBB	SH3RF1,UBB,SH3RF1,4.190000
CHUK	RIPK2,CHUK,RIPK2,3.354530
UBA1	UBE2E1,UBA1,UBE2E1,2.070000
RPS27A	ITSN2,RPS27A,ITSN2,2.790000
TNFRSF13B	TNFSF13B,TNFRSF13B,TNFSF13B,2.070000
GNB2	GNAI1,GNB2,GNAI1,1.290000
UBB	UBE2E1,UBB,UBE2E1,2.450000
ADCY5	GNAS,ADCY5,GNAS,1.290000
CDKN1B	AKT3,CDKN1B,AKT3,3.860000
FSTL3	INHBA,FSTL3,INHBA,1.180000
GIP	GIPR,GIP,GIPR,2.220000
RPS27A	HERC1,RPS27A,HERC1,2.330000
GNG2	GNB2,GNG2,GNB2,1.850000
GNB2	GNAS,GNB2,GNAS,2.200000
IL4R	IL13RA1,IL4R,IL13RA1,2.000000
FGFR3	FGF23,FGFR3,FGF23,1.940000
ARPC2	ACTG1,ARPC2,ACTG1,3.150000
CD3E	CD3G,CD3E,CD3G,1.770000
PPP2R1B	PPP2R5B,PPP2R1B,PPP2R5B,1.550000
PPP2R1B	PPP2R5A,PPP2R1B,PPP2R5A,3.130000
HIST1H2AB	H2BFS,HIST1H2AB,H2BFS,2.550320
EFNA5	EPHA5,EFNA5,EPHA5,1.530000
EFNA5	EPHB3,EFNA5,EPHB3,1.850000
STX16	VAMP3,STX16,VAMP3,2.818380
KRT36	KRT81,KRT36,KRT81,1.300000
ERBB3	NRG1,ERBB3,NRG1,1.620000
RAC1	PKN1,RAC1,PKN1,4.054650
RPS27A	STAM,RPS27A,STAM,2.740000
PPP1R13B	TP63,PPP1R13B,TP63,1.200000
RPS5	RPS28,RPS5,RPS28,1.160000
STX4	VAMP8,STX4,VAMP8,1.390000
PRL	PRLR,PRL,PRLR,4.312630
MYL12A	MYH11,MYL12A,MYH11,2.350000
PAK1	CTTN,PAK1,CTTN,1.690000
EFNA5	EPHB4,EFNA5,EPHB4,3.980000
UBC	UIMC1,UBC,UIMC1,3.376720
EFNA5	EPHB1,EFNA5,EPHB1,1.850000
CAPN2	CAST,CAPN2,CAST,2.230000
ADRA2A	GNAI1,ADRA2A,GNAI1,1.730000
FGA	FGB,FGA,FGB,1.400000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
RAC1	ARHGAP31,RAC1,ARHGAP31,4.054650
GCC2	RAB6B,GCC2,RAB6B,3.750000
PPP2R1B	PPP2R5C,PPP2R1B,PPP2R5C,3.130000
KRT85	KRT17,KRT85,KRT17,1.320000
IL2RB	IL2,IL2RB,IL2,2.170000
FAS	FASLG,FAS,FASLG,4.634330
TRAF1	BIRC2,TRAF1,BIRC2,2.416820
FGA	FGG,FGA,FGG,1.960000
CRK	GRB2,CRK,GRB2,2.140000
CFB	C3,CFB,C3,1.770000
MAP1LC3B	ATG4B,MAP1LC3B,ATG4B,1.950000
TLR2	TIRAP,TLR2,TIRAP,3.750000
NRXN2	NLGN2,NRXN2,NLGN2,1.940000
RPS18	RPS25,RPS18,RPS25,2.580000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
INHBA	FST,INHBA,FST,1.560000
HIST1H2AB	HIST1H2AD,HIST1H2AB,HIST1H2AD,2.743030
RAB11FIP3	RAB11A,RAB11FIP3,RAB11A,4.177890
TRAF1	BIRC3,TRAF1,BIRC3,3.740000
KRT15	KRT6C,KRT15,KRT6C,1.410000
ARNT	EPAS1,ARNT,EPAS1,2.010000
MAPK1	RAC1,MAPK1,RAC1,2.150000
ERBB2	YES1,ERBB2,YES1,3.020000
UBB	UBE2E3,UBB,UBE2E3,4.700000
IL2RB	IL15,IL2RB,IL15,2.050000
ARAF	MAP2K1,ARAF,MAP2K1,2.340000
CALM2	MYLK,CALM2,MYLK,4.780000
HIST1H2AD	HIST1H2BM,HIST1H2AD,HIST1H2BM,1.010000
HLA-DQA1	HLA-DQB2,HLA-DQA1,HLA-DQB2,2.997910
KRT85	KRT31,KRT85,KRT31,1.820000
HIST1H2AD	HIST1H2AJ,HIST1H2AD,HIST1H2AJ,2.743030
VAV1	SYK,VAV1,SYK,1.770000
HIST1H2AD	HIST1H2BN,HIST1H2AD,HIST1H2BN,1.010000
SKIL	SMAD4,SKIL,SMAD4,1.870000
POLR2B	POLR2K,POLR2B,POLR2K,1.620000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
RPS27A	UBE2O,RPS27A,UBE2O,1.000000
ARHGDIA	CDC42,ARHGDIA,CDC42,1.600000
ACTN2	CAMK2D,ACTN2,CAMK2D,4.243300
UBA52	HERC5,UBA52,HERC5,2.330000
F2	SERPIND1,F2,SERPIND1,3.379110
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
UBA52	SMURF1,UBA52,SMURF1,6.190000
VAV1	RAC1,VAV1,RAC1,3.698820
UBC	ITCH,UBC,ITCH,3.473600
CD8A	HLA-B,CD8A,HLA-B,1.880000
RIPK1	RIPK3,RIPK1,RIPK3,5.251540
HIST1H2AD	HIST1H2BL,HIST1H2AD,HIST1H2BL,1.010000
HLA-DPA1	HLA-DRB1,HLA-DPA1,HLA-DRB1,3.256510
KIT	FER,KIT,FER,2.770000
STRADB	CAB39,STRADB,CAB39,1.730000
LRP6	DKK1,LRP6,DKK1,1.130000
WEE1	PLK1,WEE1,PLK1,2.900000
BCL2L11	BCL2,BCL2L11,BCL2,3.821740
SEMA3E	PLXND1,SEMA3E,PLXND1,2.870000
NLGN3	NRXN1,NLGN3,NRXN1,2.809340
CBX6	HIST1H3E,CBX6,HIST1H3E,3.000000
CTLA4	CD86,CTLA4,CD86,1.340000
CCNC	CDK8,CCNC,CDK8,2.380000
GNAI3	CXCR1,GNAI3,CXCR1,2.769390
BCL2L11	BCL2L1,BCL2L11,BCL2L1,3.821740
GNAI3	CXCR2,GNAI3,CXCR2,1.510000
HLA-DRA	HLA-DQB2,HLA-DRA,HLA-DQB2,2.800000
H2AFX	HIST1H2BH,H2AFX,HIST1H2BH,4.455460
CBX4	HIST1H3E,CBX4,HIST1H3E,3.000000
GMNN	CDT1,GMNN,CDT1,1.190000
IQGAP1	CDC42,IQGAP1,CDC42,2.510000
ARNT	HIF1A,ARNT,HIF1A,2.540000
PLXNB1	RAC1,PLXNB1,RAC1,5.530230
GNGT2	GNB3,GNGT2,GNB3,3.240000
CCND2	CDKN1A,CCND2,CDKN1A,1.840000
YWHAZ	YWHAH,YWHAZ,YWHAH,4.388800
ELOC	SPSB2,ELOC,SPSB2,1.740000
RPS18	RPS15,RPS18,RPS15,1.620000
AKT1	PRKCZ,AKT1,PRKCZ,3.160000
LYN	MAPK1,LYN,MAPK1,2.600000
CD8A	HLA-C,CD8A,HLA-C,1.880000
RPL21	RPL18A,RPL21,RPL18A,3.810000
TLR4	LY96,TLR4,LY96,2.630000
GRB2	BTK,GRB2,BTK,2.960000
CREBBP	EPAS1,CREBBP,EPAS1,1.460000
OPHN1	RHOA,OPHN1,RHOA,2.244300
UBC	USP5,UBC,USP5,3.376720
ARHGAP33	RAC1,ARHGAP33,RAC1,4.054650
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
F2	F2R,F2,F2R,4.244420
GABPA	GABPB1,GABPA,GABPB1,1.270000
KRT19	KRT6C,KRT19,KRT6C,1.410000
PVR	NECTIN3,PVR,NECTIN3,2.600000
POLR2C	POLR2J,POLR2C,POLR2J,1.070000
GNAI3	GNB1,GNAI3,GNB1,3.720000
GNB3	GNAS,GNB3,GNAS,2.760000
CDK2	DBF4,CDK2,DBF4,3.680000
JAK1	PTPN6,JAK1,PTPN6,2.550970
CDC34	UBA52,CDC34,UBA52,7.230000
LATS1	STK3,LATS1,STK3,2.834540
GNAI3	GNB2,GNAI3,GNB2,3.160000
CXCR2	GNAI1,CXCR2,GNAI1,1.960000
GRB2	PTPN11,GRB2,PTPN11,2.960000
SNRPB	SNRPD1,SNRPB,SNRPD1,3.540000
HIST1H2AD	HIST2H3C,HIST1H2AD,HIST2H3C,1.420000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
SNRPB	SNRPD3,SNRPB,SNRPD3,1.850000
CDKN1B	CCNA1,CDKN1B,CCNA1,1.650000
RAB5B	ALS2,RAB5B,ALS2,1.360000
HLA-C	B2M,HLA-C,B2M,3.657490
IL6	IL6R,IL6,IL6R,2.380000
HLA-A	B2M,HLA-A,B2M,3.657490
RAC1	PAK5,RAC1,PAK5,5.042980
UBE2L6	ISG15,UBE2L6,ISG15,2.280000
XRCC2	RAD51,XRCC2,RAD51,1.950000
PCNA	FEN1,PCNA,FEN1,1.920000
EPHA3	EPHA8,EPHA3,EPHA8,1.370000
CTNNB1	TCF7L1,CTNNB1,TCF7L1,5.500000
MAP2K1	KSR1,MAP2K1,KSR1,3.019150
USP8	RNF41,USP8,RNF41,1.140000
HLA-A	B2M,HLA-A,B2M,3.657490
GNA11	ARHGEF25,GNA11,ARHGEF25,1.880000
FYN	VAV1,FYN,VAV1,4.480000
FGFR2	FGF8,FGFR2,FGF8,2.380000
HLA-B	B2M,HLA-B,B2M,3.657490
CAPZA1	CARMIL1,CAPZA1,CARMIL1,3.000000
KRT86	KRT33B,KRT86,KRT33B,1.510000
HIST1H2AD	H2AFV,HIST1H2AD,H2AFV,1.280000
ILK	LIMS2,ILK,LIMS2,3.510000
RAN	KPNB1,RAN,KPNB1,2.370000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
ARHGDIB	RHOH,ARHGDIB,RHOH,1.460000
FYN	SH3KBP1,FYN,SH3KBP1,4.480000
HLA-DRA	HLA-DRB1,HLA-DRA,HLA-DRB1,2.800000
ROCK2	RHOC,ROCK2,RHOC,5.690230
ARHGDIA	RHOB,ARHGDIA,RHOB,3.167910
ADCY5	GNAI2,ADCY5,GNAI2,2.400000
UBB	UBE2B,UBB,UBE2B,3.770000
PCNA	UBA52,PCNA,UBA52,2.330000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
HIST1H2BO	HIST1H2AC,HIST1H2BO,HIST1H2AC,1.410000
ADCY6	GNAI3,ADCY6,GNAI3,3.360000
CDKN2A	CDK6,CDKN2A,CDK6,6.764330
EPS15	STON2,EPS15,STON2,3.420000
GNAI3	RGS7,GNAI3,RGS7,3.960000
CD226	NECTIN2,CD226,NECTIN2,3.800000
IKBKB	MAP3K7,IKBKB,MAP3K7,2.680000
BAG2	HSPA2,BAG2,HSPA2,1.580000
H2AFX	HIST2H2BE,H2AFX,HIST2H2BE,2.760000
H2AFX	HIST2H2AC,H2AFX,HIST2H2AC,2.423030
H2AFX	CENPA,H2AFX,CENPA,3.510320
RAC1	ABR,RAC1,ABR,4.054650
GNAI3	GNB4,GNAI3,GNB4,4.950000
FLNA	FBLIM1,FLNA,FBLIM1,1.530000
PCNA	RPS27A,PCNA,RPS27A,2.330000
TEAD3	WWTR1,TEAD3,WWTR1,2.360000
TUBB4A	TUBA1C,TUBB4A,TUBA1C,2.960000
FYN	LCP2,FYN,LCP2,1.510000
HNRNPA0	SRSF6,HNRNPA0,SRSF6,3.966960
PPP2R1A	PPP2R5E,PPP2R1A,PPP2R5E,1.370000
NEDD4	UBA52,NEDD4,UBA52,2.330000
IL6	IL6ST,IL6,IL6ST,1.140000
CCNE2	CDKN1B,CCNE2,CDKN1B,1.650000
NCOR1	RXRA,NCOR1,RXRA,3.095250
HIST1H2AD	HIST3H2BB,HIST1H2AD,HIST3H2BB,1.010000
GH2	GHR,GH2,GHR,2.560000
IKBKB	TAB1,IKBKB,TAB1,3.089870
NLGN4X	NRXN3,NLGN4X,NRXN3,3.409900
PVR	CD226,PVR,CD226,1.860000
CDC42	IQGAP2,CDC42,IQGAP2,1.410000
RHOB	ARHGEF3,RHOB,ARHGEF3,4.828680
HIST2H4B	H2AFV,HIST2H4B,H2AFV,2.280000
HIST1H3E	BAZ1B,HIST1H3E,BAZ1B,3.980000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
HNRNPA0	SRSF5,HNRNPA0,SRSF5,2.460000
SUMO2	SUMO1,SUMO2,SUMO1,4.310000
HIST2H4B	RBBP7,HIST2H4B,RBBP7,1.610000
UBC	ARHGEF7,UBC,ARHGEF7,3.376720
KDR	VEGFC,KDR,VEGFC,1.010000
MAPK3	MAPK1,MAPK3,MAPK1,2.600000
GRB2	GAB2,GRB2,GAB2,1.420000
INHBB	ACVR2B,INHBB,ACVR2B,1.220000
HIST2H4B	HIST2H3C,HIST2H4B,HIST2H3C,2.732990
FGF1	FGFR4,FGF1,FGFR4,1.730000
H2AFX	H2BFS,H2AFX,H2BFS,4.455460
NEDD4	RPS27A,NEDD4,RPS27A,2.330000
HLA-DPB1	HLA-DPA1,HLA-DPB1,HLA-DPA1,1.780000
SUMO3	TDG,SUMO3,TDG,1.360000
KRT5	KRT33B,KRT5,KRT33B,1.730000
PPP2R1A	PPP2R5D,PPP2R1A,PPP2R5D,1.680000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
HIST1H3E	HIST2H3C,HIST1H3E,HIST2H3C,3.120000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
HLA-A	B2M,HLA-A,B2M,3.657490
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
RGS9	GNAT1,RGS9,GNAT1,1.450000
HIST1H2BD	HIST1H2AC,HIST1H2BD,HIST1H2AC,2.820000
TRIM21	UBA52,TRIM21,UBA52,6.190000
HLA-DRB1	HLA-DMA,HLA-DRB1,HLA-DMA,1.480000
DVL2	AXIN1,DVL2,AXIN1,1.400000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
RHOD	ARHGAP29,RHOD,ARHGAP29,1.250000
MDM4	TP53,MDM4,TP53,1.930000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
JUP	CDH5,JUP,CDH5,1.180000
HLA-A	B2M,HLA-A,B2M,3.657490
RPL14	RPL6,RPL14,RPL6,1.420000
HLA-B	B2M,HLA-B,B2M,3.657490
RAC1	ARHGDIG,RAC1,ARHGDIG,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
HIST1H2AB	HIST1H2AC,HIST1H2AB,HIST1H2AC,1.380000
HIST1H2AB	HIST1H2BH,HIST1H2AB,HIST1H2BH,2.550320
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
CCND2	CDK6,CCND2,CDK6,1.150000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
RHOC	ARHGEF2,RHOC,ARHGEF2,2.280000
TUBA1A	TUBB6,TUBA1A,TUBB6,1.110000
PDHX	PDK2,PDHX,PDK2,1.790000
PDHX	PDK1,PDHX,PDK1,1.790000
PLXNA2	SEMA3A,PLXNA2,SEMA3A,1.330000
RAC3	ARHGDIG,RAC3,ARHGDIG,2.988820
RHOC	MCF2,RHOC,MCF2,1.130000
RGS16	GNAI3,RGS16,GNAI3,3.960000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
C8A	C8G,C8A,C8G,1.350000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
CCNE2	CDKN1A,CCNE2,CDKN1A,2.040000
UBC	SH3GL2,UBC,SH3GL2,3.376720
TP73	PPP1R13B,TP73,PPP1R13B,1.940000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
UBC	SH3GL1,UBC,SH3GL1,5.260000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
UBC	SH3GL3,UBC,SH3GL3,3.376720
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
C8A	C8B,C8A,C8B,1.060000
TGFB1	TGFBR2,TGFB1,TGFBR2,1.510000
KRT83	KRT25,KRT83,KRT25,1.830000
GNAT3	GNAT2,GNAT3,GNAT2,1.940000
NDUFS2	NDUFS3,NDUFS2,NDUFS3,1.420000
NDUFS1	NDUFV1,NDUFS1,NDUFV1,2.370000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
GNAI2	GNAT2,GNAI2,GNAT2,1.940000
UBE2K	NEDD4L,UBE2K,NEDD4L,1.310000
MAPK1	RPS6KA3,MAPK1,RPS6KA3,3.200000
GRK2	GNA15,GRK2,GNA15,1.390000
KRT83	KRT28,KRT83,KRT28,1.830000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
BAG3	HSPA4,BAG3,HSPA4,1.390000
GNB1	GNAI1,GNB1,GNAI1,1.290000
FYN	KDR,FYN,KDR,5.584330
ADCY6	ADCY5,ADCY6,ADCY5,2.420000
CDC34	WWP1,CDC34,WWP1,2.630000
RHOB	NGEF,RHOB,NGEF,1.800000
GNG2	GNB4,GNG2,GNB4,3.730000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
AHRR	ARNT,AHRR,ARNT,2.310000
CGA	LHB,CGA,LHB,1.580000
NRXN2	NLGN3,NRXN2,NLGN3,2.809340
HLA-A	B2M,HLA-A,B2M,3.657490
AP2A2	AP2M1,AP2A2,AP2M1,1.620000
CD8A	HLA-C,CD8A,HLA-C,1.880000
CGA	FSHB,CGA,FSHB,1.120000
PPARG	NCOA1,PPARG,NCOA1,2.510000
UBE2D2	NEDD4L,UBE2D2,NEDD4L,1.640000
KLHL22	KLHL13,KLHL22,KLHL13,3.100000
AGTR1	GNAQ,AGTR1,GNAQ,1.140000
MYL1	MYL3,MYL1,MYL3,1.070000
GNB1	GNAS,GNB1,GNAS,2.200000
GNAI3	S1PR1,GNAI3,S1PR1,4.608130
RHOA	ARHGEF2,RHOA,ARHGEF2,2.360000
HIST1H3E	CHD4,HIST1H3E,CHD4,3.000000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
BTG2	CNOT7,BTG2,CNOT7,1.630000
IRF3	IRF7,IRF3,IRF7,1.340000
LILRA1	HLA-C,LILRA1,HLA-C,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
RAC2	VAV3,RAC2,VAV3,2.000000
CDC42	ARHGDIG,CDC42,ARHGDIG,3.130000
KRT83	KRT40,KRT83,KRT40,1.830000
UBB	SH3KBP1,UBB,SH3KBP1,2.168270
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
CDC42	FGD1,CDC42,FGD1,1.300000
HLA-C	LILRB2,HLA-C,LILRB2,1.680000
HIST1H3E	H2AFV,HIST1H3E,H2AFV,1.320000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
HLA-DQA1	HLA-DQB1,HLA-DQA1,HLA-DQB1,2.997910
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,2.997910
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
HLA-DQA1	HLA-DRB1,HLA-DQA1,HLA-DRB1,1.640000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
LILRA1	HLA-B,LILRA1,HLA-B,3.130000
BMP2	ACVR2B,BMP2,ACVR2B,1.220000
ITCH	WWP1,ITCH,WWP1,3.185190
SKP1	SKP2,SKP1,SKP2,2.460000
NOTCH1	RBPJ,NOTCH1,RBPJ,2.410000
JUP	CDH7,JUP,CDH7,1.620000
NLGN4X	NRXN3,NLGN4X,NRXN3,3.409900
TRAF3	TANK,TRAF3,TANK,3.250000
JUP	CDH9,JUP,CDH9,1.620000
GNAI3	ADORA1,GNAI3,ADORA1,2.000000
HNRNPA2B1	HNRNPA3,HNRNPA2B1,HNRNPA3,1.780000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CD8A	HLA-B,CD8A,HLA-B,1.880000
CDC42	ABR,CDC42,ABR,3.710000
KRT83	KRT17,KRT83,KRT17,1.320000
CD8A	HLA-A,CD8A,HLA-A,1.880000
KRT6A	KRT17,KRT6A,KRT17,1.320000
CRKL	GRB2,CRKL,GRB2,2.960000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
EFNA1	EPHA2,EFNA1,EPHA2,1.120000
JUP	CDH2,JUP,CDH2,1.200000
SMC2	SMC4,SMC2,SMC4,2.070000
IL4R	IL2RG,IL4R,IL2RG,2.000000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
RAC2	ARHGDIG,RAC2,ARHGDIG,3.130000
CD8A	HLA-B,CD8A,HLA-B,1.880000
NLGN3	NRXN2,NLGN3,NRXN2,2.809340
BRCA2	PALB2,BRCA2,PALB2,1.020000
HLA-A	LILRB2,HLA-A,LILRB2,1.680000
FGF2	FGFR4,FGF2,FGFR4,1.410000
AKT1	GSK3A,AKT1,GSK3A,4.700000
RNF34	UBE2F,RNF34,UBE2F,2.010000
AKT1	GSK3B,AKT1,GSK3B,4.700000
GH1	GH2,GH1,GH2,2.220000
EFNA1	EPHA8,EFNA1,EPHA8,1.700000
LILRA1	HLA-A,LILRA1,HLA-A,3.130000
EFNA1	EPHA3,EFNA1,EPHA3,6.210000
HIST1H2AD	H2AFJ,HIST1H2AD,H2AFJ,2.743030
NUP54	NUP58,NUP54,NUP58,2.230000
HIST1H3E	CBX8,HIST1H3E,CBX8,3.000000
GEMIN2	SNRPD2,GEMIN2,SNRPD2,1.210000
LCK	SRC,LCK,SRC,3.520000
DDX39A	MAGOH,DDX39A,MAGOH,3.246960
UBE2L3	HERC3,UBE2L3,HERC3,3.660000
RPS27A	UBE2E3,RPS27A,UBE2E3,4.700000
KRT86	KRT12,KRT86,KRT12,2.510000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
HLA-B	LILRB2,HLA-B,LILRB2,1.680000
UBB	UBE2O,UBB,UBE2O,1.000000
RPS6KA5	MAPK11,RPS6KA5,MAPK11,4.255190
MAPK1	DUSP6,MAPK1,DUSP6,5.098990
KRT83	KRT31,KRT83,KRT31,1.080000
MAPK1	DUSP7,MAPK1,DUSP7,5.098990
CDH1	KLRG1,CDH1,KLRG1,3.380000
KRT6C	KRT12,KRT6C,KRT12,1.400000
JUP	CDH10,JUP,CDH10,1.620000
GEMIN2	SNRPE,GEMIN2,SNRPE,1.210000
GABARAP	ATG4B,GABARAP,ATG4B,1.750000
HLA-A	LILRA2,HLA-A,LILRA2,1.710000
NRG2	ERBB4,NRG2,ERBB4,3.500000
SGK2	WNK2,SGK2,WNK2,3.086640
NDEL1	NDE1,NDEL1,NDE1,2.930000
UBA52	UBE3B,UBA52,UBE3B,2.330000
VAV1	LCP2,VAV1,LCP2,1.510000
UBB	UBE2L3,UBB,UBE2L3,3.770000
VAMP2	STX1A,VAMP2,STX1A,1.420000
ATG7	ATG3,ATG7,ATG3,1.700000
KRT33A	KRT5,KRT33A,KRT5,1.030000
HLA-B	LILRA2,HLA-B,LILRA2,1.710000
WAS	ACTB,WAS,ACTB,2.700000
TLR2	CD14,TLR2,CD14,1.430000
PARK2	UBA52,PARK2,UBA52,1.800000
ILK	PARVA,ILK,PARVA,2.170000
RAB5C	RIN2,RAB5C,RIN2,5.278370
UBE2E2	NEDD4L,UBE2E2,NEDD4L,1.730000
KIT	SRC,KIT,SRC,2.770000
ISG15	UBE2E1,ISG15,UBE2E1,2.450000
CHN1	RAC1,CHN1,RAC1,4.054650
KRAS	RASA1,KRAS,RASA1,1.490000
PARK2	RPS27A,PARK2,RPS27A,1.800000
HNRNPM	ALYREF,HNRNPM,ALYREF,5.069340
RPSA	RPS2,RPSA,RPS2,1.300000
GNAQ	ARHGEF25,GNAQ,ARHGEF25,1.990000
PDGFB	PDGFRA,PDGFB,PDGFRA,1.720000
CTNNB1	CDH15,CTNNB1,CDH15,5.500000
JAK2	PTPN11,JAK2,PTPN11,3.250000
EEF1D	EEF1A1,EEF1D,EEF1A1,2.823570
RHOC	PKN2,RHOC,PKN2,3.753460
KRT16	KRT5,KRT16,KRT5,3.230000
