Interaction,Gene1 Name,Gene1 Interface Length,Gene1 Length,Gene1 Interface Mutation Count,Gene1 Mutation Count,Gene2 Name,Gene2 Interface Length,Gene2 Length,Gene2 Interface Mutation Count,Gene2 Mutation Count,P Value
ATG7	ATG7,ATG7,59,657,4,29,ATG7,59,657,4,29,0.146308
ERBB2	SHC2,ERBB2,5,253,0,14,SHC2,10,72,2,3,0.183759
STAT1	STAT5A,STAT1,40,682,3,30,STAT5A,38,681,1,36,0.526504
GAP43	CALM2,GAP43,15,18,0,0,CALM2,19,61,1,10,0.996404
RPSA	RPS21,RPSA,41,216,2,10,RPS21,38,82,7,7,0.018306
RNF4	RNF4,RNF4,16,64,2,10,RNF4,16,64,2,10,0.774844
CDC7	CDKN1A,CDC7,38,502,0,5,CDKN1A,26,51,7,39,0.242661
CDH1	CTNNB1,CDH1,48,66,0,6,CTNNB1,88,521,6,9,0.111056
RAD1	HUS1,RAD1,19,263,2,5,HUS1,17,269,2,20,0.085009
WDR5	KANSL1,WDR5,31,303,1,19,KANSL1,11,14,0,24,0.997783
PAK1	SH3KBP1,PAK1,11,22,3,33,SH3KBP1,16,52,2,14,0.999988
KCTD6	KCTD6,KCTD6,21,90,2,10,KCTD6,21,90,2,10,0.720319
UBA3	UBE2F,UBA3,30,92,1,9,UBE2F,22,160,1,16,0.976783
HSPA8	STUB1,HSPA8,19,91,2,45,STUB1,30,130,0,0,0.999826
MAPK6	MAPKAPK5,MAPK6,67,345,0,3,MAPKAPK5,58,323,4,26,0.818641
CAPN9	CAPN9,CAPN9,29,319,2,23,CAPN9,29,319,2,23,0.611746
RGS10	GNAI3,RGS10,21,111,4,15,GNAI3,19,317,2,28,0.209924
DCLRE1A	DCLRE1A,DCLRE1A,23,330,1,28,DCLRE1A,23,330,1,28,0.909094
HIST1H2BJ	H2AFZ,HIST1H2BJ,59,92,7,18,H2AFZ,54,86,2,7,0.998624
BUB1B	CDC20,BUB1B,5,8,0,0,CDC20,16,312,1,28,0.850516
UBE2E1	TRAF6,UBE2E1,10,143,1,13,TRAF6,14,104,2,46,0.934699
DAPK3	DAPK3,DAPK3,54,266,2,28,DAPK3,54,266,2,28,0.998263
ING4	ING4,ING4,43,102,1,20,ING4,43,102,1,20,1.000000
RNF25	UBE2D4,RNF25,31,127,1,23,UBE2D4,39,146,2,6,0.988996
NRAS	GRB10,NRAS,12,166,3,209,GRB10,12,246,0,9,0.999782
NRAS	GRB14,NRAS,12,166,3,209,GRB14,12,251,0,1,0.999624
SFI1	CETN2,SFI1,11,20,1,9,CETN2,22,79,1,10,0.995264
PDPK1	PKN1,PDPK1,22,248,1,22,PKN1,23,259,0,4,0.910775
PDPK1	PKN2,PDPK1,19,284,0,22,PKN2,8,9,2,11,0.820975
OIP5	OIP5,OIP5,10,96,1,11,OIP5,10,96,1,11,0.683611
YWHAB	GAB2,YWHAB,24,230,2,13,GAB2,9,9,0,5,0.732286
S100A12	S100A12,S100A12,36,92,7,12,S100A12,36,92,7,12,0.044453
IGF1R	CSK,IGF1R,22,308,1,19,CSK,29,264,2,22,0.720285
RNF25	UBE2E2,RNF25,30,127,1,23,UBE2E2,35,143,3,9,0.967404
TNFAIP3	TNFAIP3,TNFAIP3,15,324,3,28,TNFAIP3,15,324,3,28,0.044349
UBE2D2	TRAF6,UBE2D2,10,144,0,4,TRAF6,16,104,2,46,0.973015
UBE2D2	TRAF7,UBE2D2,8,136,0,4,TRAF7,9,33,2,51,0.979010
MYL12B	MYH11,MYL12B,44,135,6,12,MYH11,28,814,0,3,0.000523
CDK2	CKS1B,CDK2,16,287,2,16,CKS1B,18,70,2,7,0.170450
POLR2A	GTF2B,POLR2A,58,1454,0,9,GTF2B,57,310,2,14,0.447606
COLEC11	COLEC11,COLEC11,20,155,2,36,COLEC11,20,155,2,36,0.987471
LGALS9	LGALS9,LGALS9,14,143,3,27,LGALS9,14,143,3,27,0.436706
VEGFC	VEGFC,VEGFC,27,99,1,7,VEGFC,27,99,1,7,0.927616
SIRPG	SIRPG,SIRPG,20,111,2,12,SIRPG,20,111,2,12,0.650848
B2M	B2M,B2M,6,6,2,24,B2M,6,6,2,24,1.000000
CTNNB1	TCF7,CTNNB1,60,529,6,9,TCF7,29,40,0,6,0.020452
LAMTOR3	LAMTOR2,LAMTOR3,26,122,0,2,LAMTOR2,29,118,2,10,0.798993
KDM1A	HIST1H3E,KDM1A,18,664,0,36,HIST1H3E,6,6,2,24,0.638137
ACOT13	ACOT13,ACOT13,15,138,1,7,ACOT13,15,138,1,7,0.459366
BID	BAX,BID,15,24,2,15,BAX,22,152,1,23,0.992240
UBE2D2	OTUB1,UBE2D2,26,148,0,4,OTUB1,28,255,1,19,0.963443
CDK2	CDKN1B,CDK2,50,286,5,16,CDKN1B,31,69,1,2,0.211102
CDK2	CDKN1A,CDK2,50,286,5,16,CDKN1A,31,67,9,39,0.378883
BMP2	FSTL1,BMP2,8,103,3,38,FSTL1,3,37,1,31,0.800774
SCOC	SCOC,SCOC,27,61,1,11,SCOC,27,61,1,11,0.999952
MRPL50	MRPL4,MRPL50,21,100,4,16,MRPL4,22,250,0,4,0.225152
COPS4	COPS7A,COPS4,25,406,5,36,COPS7A,21,208,2,13,0.071410
EME1	MUS81,EME1,86,278,0,10,MUS81,72,283,2,14,0.996288
MRPL30	MRPL57,MRPL30,32,120,1,16,MRPL57,21,94,2,6,0.936440
STK26	STK26,STK26,24,270,2,34,STK26,24,270,2,34,0.864845
RBMX	RBMX,RBMX,10,77,2,22,RBMX,10,77,2,22,0.840380
H3F3A	UHRF1,H3F3A,7,9,3,14,UHRF1,18,68,0,0,0.881959
AURKA	MAP2K1,AURKA,32,251,1,22,MAP2K1,29,294,2,46,0.985712
MRPL52	MRPL57,MRPL52,8,85,0,4,MRPL57,8,94,1,6,0.607946
RPS27	RPS13,RPS27,20,82,2,6,RPS13,20,149,4,15,0.141735
SETDB1	CBX8,SETDB1,9,9,0,6,CBX8,18,56,1,43,1.000000
HSP90AA1	PPP5C,HSP90AA1,4,5,0,44,PPP5C,11,131,2,42,0.999497
TFRC	TF,TFRC,25,638,3,25,TF,32,515,0,10,0.248884
CD1B	B2M,CD1B,39,283,0,0,B2M,29,99,17,24,0.000000
FBLN5	FBLN5,FBLN5,6,110,1,41,FBLN5,6,110,1,41,0.942357
DIAPH1	RHOC,DIAPH1,38,361,1,12,RHOC,24,179,3,14,0.348961
DIAPH1	RHOA,DIAPH1,41,361,2,12,RHOA,24,179,14,54,0.004437
DIAPH1	RHOB,DIAPH1,39,361,1,12,RHOB,26,179,5,19,0.162165
MRPL52	MRPL30,MRPL52,24,85,1,4,MRPL30,25,120,3,16,0.739823
MAPK3	CASP8,MAPK3,20,287,0,7,CASP8,14,82,1,50,0.995954
ERCC2	ERCC3,ERCC2,5,665,0,19,ERCC3,8,475,2,51,0.190155
DIAPH1	RHOF,DIAPH1,40,361,1,12,RHOF,25,173,3,17,0.477166
CCND3	CDK6,CCND3,30,240,1,4,CDK6,27,292,3,19,0.227921
SHH	HHIP,SHH,28,154,2,9,HHIP,20,451,0,8,0.395339
ARPC4	ACTR2,ARPC4,19,167,1,8,ACTR2,26,190,0,4,0.801465
MRPL30	MRPL16,MRPL30,13,120,1,16,MRPL16,10,205,3,19,0.233229
ZBTB16	ZBTB32,ZBTB16,20,112,0,22,ZBTB32,18,109,1,22,0.999752
MRPL52	MRPL20,MRPL52,9,85,1,4,MRPL20,10,140,3,14,0.059689
RGS10	GNAO1,RGS10,30,122,4,15,GNAO1,32,317,2,19,0.346219
PSMC5	PSMC6,PSMC5,53,254,2,6,PSMC6,58,253,3,8,0.173808
IL13	IL13RA2,IL13,21,109,0,9,IL13RA2,27,286,2,24,0.922621
CCNE2	CDKN1C,CCNE2,27,127,1,30,CDKN1C,17,53,1,5,0.999324
TBX5	TBX5,TBX5,22,177,3,59,TBX5,22,177,3,59,0.997772
RAC1	DOCK2,RAC1,44,180,25,42,DOCK2,53,411,0,2,0.000000
SPINT2	PRSS3,SPINT2,14,54,0,24,PRSS3,33,224,1,30,0.999955
RAC1	DOCK1,RAC1,44,177,25,42,DOCK1,52,423,1,6,0.000000
CCNE2	CDKN1B,CCNE2,26,127,1,30,CDKN1B,15,51,0,2,0.999770
RAB5B	TBC1D17,RAB5B,22,160,2,16,TBC1D17,26,227,0,4,0.728866
RAB5B	TBC1D15,RAB5B,21,160,1,16,TBC1D15,27,227,0,5,0.938018
RAC1	DOCK8,RAC1,48,177,24,42,DOCK8,60,273,0,6,0.000084
UBC	USP7,UBC,39,76,0,2,USP7,62,347,1,23,0.998909
VPS36	SNF8,VPS36,55,204,2,12,SNF8,49,219,4,16,0.719606
MRPL21	MRPS18A,MRPL21,12,156,1,16,MRPS18A,14,146,0,4,0.834788
PDE6D	ARL3,PDE6D,26,149,0,7,ARL3,21,165,5,12,0.143480
PDK2	PDK2,PDK2,57,363,3,10,PDK2,57,363,3,10,0.080816
ABL2	CTTN,ABL2,10,13,0,5,CTTN,11,60,1,47,1.000000
GTF2E1	POLR2G,GTF2E1,19,180,2,12,POLR2G,22,171,0,8,0.696046
BCHE	BCHE,BCHE,7,527,1,34,BCHE,7,527,1,34,0.228455
GRB2	BTK,GRB2,34,76,5,23,BTK,37,100,0,26,0.999999
MRPL30	MRPL20,MRPL30,7,120,1,16,MRPL20,4,140,0,14,0.726612
STAT6	STAT6,STAT6,31,445,2,16,STAT6,31,445,2,16,0.180691
TRIM50	TRIM50,TRIM50,9,169,2,25,TRIM50,9,169,2,25,0.275592
CRMP1	CRMP1,CRMP1,28,477,6,61,CRMP1,28,477,6,61,0.055303
RNF8	UBE2E3,RNF8,17,139,0,10,UBE2E3,14,143,1,15,0.945598
DNMT1	USP7,DNMT1,40,882,0,32,USP7,50,529,1,23,0.973352
TNFRSF14	TNFRSF14,TNFRSF14,6,105,1,13,TNFRSF14,6,105,1,13,0.442175
GSK3B	PRKCZ,GSK3B,9,10,0,13,PRKCZ,26,325,2,21,0.883409
SNRPB	LSM2,SNRPB,17,73,1,27,LSM2,15,66,0,3,0.999610
HGS	TSG101,HGS,9,9,0,3,TSG101,16,141,1,38,0.999433
HLA-C	KPNA2,HLA-C,33,278,2,12,KPNA2,9,9,0,4,0.702320
FGF3	FGFR2,FGF3,30,135,4,25,FGFR2,26,215,0,2,0.647125
KDM1A	RCOR1,KDM1A,59,666,2,36,RCOR1,55,133,0,1,0.975951
AP4E1	AP4B1,AP4E1,20,538,0,3,AP4B1,22,512,2,23,0.279207
TNNT1	NINL,TNNT1,5,117,1,30,NINL,10,34,0,8,0.981235
SUMF2	SUMF2,SUMF2,30,268,3,21,SUMF2,30,268,3,21,0.328429
MAP2K3	MAP3K5,MAP2K3,36,287,6,62,MAP3K5,34,250,0,8,0.907565
PDHA1	PDHB,PDHA1,50,362,1,3,PDHB,48,330,0,17,0.952836
CALM2	MYLK,CALM2,42,142,2,10,MYLK,19,19,1,30,0.999998
PIK3R1	GRB2,PIK3R1,44,83,0,8,GRB2,40,100,3,23,0.999998
STAT3	SH2B1,STAT3,21,91,0,9,SH2B1,19,78,1,53,1.000000
PPP2R1B	PPP2CA,PPP2R1B,36,582,3,34,PPP2CA,34,308,0,5,0.601337
PSMA7	PSMB9,PSMA7,13,225,0,11,PSMB9,9,179,1,11,0.708255
PSMA7	PSMB2,PSMA7,11,243,0,11,PSMB2,8,199,1,10,0.602552
PSMA7	PSMB1,PSMA7,20,182,2,11,PSMB1,18,189,0,10,0.648848
HSP90AB1	HSP90AB1,HSP90AB1,100,631,10,29,HSP90AB1,100,631,10,29,0.000391
TUBA1A	TUBA1A,TUBA1A,15,428,1,24,TUBA1A,15,428,1,24,0.505027
PSMA7	PSMB7,PSMA7,13,232,0,11,PSMB7,11,220,1,9,0.664180
EPHB1	GRB7,EPHB1,33,266,4,29,GRB7,26,37,0,1,0.862634
DPYSL2	DPYSL2,DPYSL2,32,476,1,18,DPYSL2,32,476,1,18,0.706515
DPYSL2	DPYSL5,DPYSL2,43,484,1,18,DPYSL5,50,485,2,28,0.830743
GRIK1	GRIK1,GRIK1,20,256,1,6,GRIK1,20,256,1,6,0.240095
HTRA1	PARD6B,HTRA1,14,75,0,10,PARD6B,14,80,2,19,0.977115
EXOSC4	EXOSC4,EXOSC4,32,132,1,15,EXOSC4,32,132,1,15,0.997441
PSMA7	PSMA1,PSMA7,31,237,3,11,PSMA1,28,232,6,28,0.049546
PSMA7	PSMA3,PSMA7,35,235,4,11,PSMA3,34,245,4,19,0.056683
PSMA7	PSMA5,PSMA7,35,243,5,11,PSMA5,33,234,0,10,0.169874
HRAS	RAF1,HRAS,14,165,1,83,RAF1,14,76,0,26,0.999999
PSMA7	PSMA4,PSMA7,31,243,2,11,PSMA4,37,250,4,17,0.180269
SOCS3	YES1,SOCS3,27,82,0,2,YES1,23,83,1,42,1.000000
PSMA7	PSMA7,PSMA7,34,237,3,11,PSMA7,34,237,3,11,0.084223
PSMA7	PSMA6,PSMA7,32,230,2,11,PSMA6,41,244,4,18,0.282954
CSF2	CSF2RA,CSF2,32,105,0,6,CSF2RA,27,267,7,78,0.985564
IGF1	IGFBP1,IGF1,17,62,5,28,IGFBP1,16,78,0,3,0.886695
IGF1	IGFBP2,IGF1,16,62,2,28,IGFBP2,20,90,0,8,0.999276
IGF1	IGFBP3,IGF1,19,62,5,28,IGFBP3,19,78,0,0,0.911493
IGF1	IGFBP4,IGF1,20,62,2,28,IGFBP4,21,80,0,16,0.999994
CSNK1D	LRRK2,CSNK1D,17,238,1,22,LRRK2,23,245,0,0,0.850705
PPP1R12A	PPP1CB,PPP1R12A,70,291,2,54,PPP1CB,55,308,1,10,0.999951
F2	FGG,F2,27,251,1,5,FGG,10,14,0,1,0.594366
USP4	USP39,USP4,17,620,0,17,USP39,26,326,1,21,0.829285
USP5	USP13,USP5,49,117,2,10,USP13,49,114,0,1,0.979014
TFRC	TFRC,TFRC,64,633,2,25,TFRC,64,633,2,25,0.757615
SPARC	SPARC,SPARC,18,233,1,30,SPARC,18,233,1,30,0.951607
CGA	CGB3,CGA,11,85,1,14,CGB3,11,110,0,0,0.812862
IGF1	IGFBP6,IGF1,13,62,1,28,IGFBP6,17,77,0,10,0.999903
TNNI1	TNNC1,TNNI1,47,124,3,13,TNNC1,66,161,0,13,0.999686
PACSIN1	PACSIN1,PACSIN1,109,269,3,14,PACSIN1,109,269,3,14,0.990347
PACSIN1	PACSIN2,PACSIN1,101,289,3,14,PACSIN2,101,289,8,34,0.974645
PACSIN1	PACSIN3,PACSIN1,113,292,3,14,PACSIN3,101,289,7,26,0.960306
CHUK	MAP3K14,CHUK,15,274,3,22,MAP3K14,19,243,0,0,0.173085
ADRB2	ADRB2,ADRB2,16,309,2,38,ADRB2,16,309,2,38,0.558729
HRAS	PIK3CG,HRAS,16,166,1,83,PIK3CG,19,749,0,1,0.962228
LRRK2	PAK6,LRRK2,13,245,0,0,PAK6,9,247,1,21,0.617362
SNRPE	LSM5,SNRPE,19,64,5,13,LSM5,18,65,1,3,0.297524
FANCM	RMI1,FANCM,8,12,0,3,RMI1,18,144,1,13,0.945912
SNRPE	LSM2,SNRPE,16,64,2,13,LSM2,15,65,0,3,0.925399
CLNS1A	SNRPF,CLNS1A,27,111,1,11,SNRPF,21,63,0,2,0.984945
SNRPE	LSM4,SNRPE,13,64,1,13,LSM4,14,64,3,12,0.804352
B4GALT7	B4GALT7,B4GALT7,21,232,4,17,B4GALT7,21,232,4,17,0.009568
SNRPE	LSM3,SNRPE,18,64,2,13,LSM3,17,74,0,10,0.989449
CLNS1A	SNRPG,CLNS1A,29,111,3,11,SNRPG,24,63,1,3,0.658733
HIRA	ASF1A,HIRA,13,21,0,35,ASF1A,19,154,1,17,0.999972
NLRP1	NLRP1,NLRP1,18,198,4,43,NLRP1,18,198,4,43,0.526964
CYFIP1	WASF1,CYFIP1,96,1175,1,12,WASF1,73,204,5,9,0.035958
UPF3B	UPF2,UPF3B,25,91,1,4,UPF2,28,248,0,9,0.890311
HP	HBA1,HP,23,259,2,19,HBA1,20,141,1,3,0.426477
HLA-DRA	VIM,HLA-DRA,20,180,5,41,VIM,13,13,0,42,0.999253
SPC24	SPC25,SPC24,99,242,4,8,SPC25,113,303,1,4,0.530319
UNG	RPA2,UNG,9,16,0,7,RPA2,14,69,1,15,0.999033
NOXA1	NOXO1,NOXA1,30,43,0,10,NOXO1,28,41,2,10,1.000000
RAC1	PREX1,RAC1,30,176,8,42,PREX1,37,349,0,4,0.227464
IL22RA2	IL22,IL22RA2,26,173,1,15,IL22,27,134,3,18,0.845321
PLN	PLN,PLN,15,52,2,6,PLN,15,52,2,6,0.471670
EPAS1	EGLN3,EPAS1,9,18,8,24,EGLN3,15,92,2,10,0.190733
SH2D1A	LCK,SH2D1A,45,96,10,22,LCK,53,103,0,14,0.997399
EPAS1	EGLN1,EPAS1,9,18,8,24,EGLN1,15,92,1,23,0.725045
CDKN1B	CDK5,CDKN1B,31,69,1,2,CDK5,48,280,0,4,0.785597
VAMP2	STX3,VAMP2,46,87,0,3,STX3,46,96,2,10,0.998392
LYPLA1	LYPLA1,LYPLA1,31,229,2,9,LYPLA1,31,229,2,9,0.219573
VAMP2	STX4,VAMP2,43,87,0,3,STX4,46,96,3,22,0.999983
SRGAP3	GRB2,SRGAP3,9,46,0,7,GRB2,10,45,3,23,0.965157
LSM7	LSM5,LSM7,21,79,0,4,LSM5,24,75,1,3,0.911010
LSM7	LSM4,LSM7,12,72,1,4,LSM4,17,80,4,12,0.174933
LSM7	LSM2,LSM7,27,76,0,4,LSM2,28,91,1,3,0.938975
FGFR2	EPHA4,FGFR2,21,305,2,2,EPHA4,30,262,0,4,0.095055
RAN	KPNB1,RAN,41,169,3,11,KPNB1,47,458,3,48,0.853082
IL10	IL10,IL10,94,155,8,13,IL10,94,155,8,13,0.548325
KRT15	KRT20,KRT15,5,90,0,25,KRT20,6,90,1,39,0.982327
CDKN1B	CDK6,CDKN1B,34,69,1,2,CDK6,54,284,3,19,0.806319
EIF2B2	EIF2B4,EIF2B2,52,337,4,29,EIF2B4,51,341,0,30,0.984811
UBA52	GRB2,UBA52,21,75,3,12,GRB2,16,51,3,23,0.967867
EVL	EVL,EVL,16,35,1,36,EVL,16,35,1,36,1.000000
H2AFX	HIST3H3,H2AFX,16,117,3,12,HIST3H3,18,135,4,13,0.042822
COPB1	COPZ1,COPB1,40,282,2,42,COPZ1,34,135,0,1,0.997690
TDP1	TDP1,TDP1,8,437,1,17,TDP1,8,437,1,17,0.128154
TP53	RPA1,TP53,4,24,8,310,RPA1,3,117,0,29,0.994839
UBE2N	BIRC3,UBE2N,13,144,2,18,BIRC3,13,58,0,6,0.833487
SORL1	GGA1,SORL1,9,11,1,12,GGA1,18,146,0,1,0.913986
ERBB2	CHN1,ERBB2,14,252,2,14,CHN1,11,68,3,41,0.431239
RPA2	RPA3,RPA2,31,119,0,15,RPA3,32,118,3,9,0.972409
RPA2	RPA1,RPA2,24,123,0,15,RPA1,23,173,3,29,0.978645
HIST1H2BK	HIST1H2AB,HIST1H2BK,58,96,6,23,HIST1H2AB,57,108,7,15,0.998219
RAF1	BRAF,RAF1,24,274,2,26,BRAF,25,276,0,5,0.776519
EGFR	SYK,EGFR,17,324,0,7,SYK,14,258,1,42,0.931577
CCNB1	CCNF,CCNB1,16,88,0,9,CCNF,14,90,2,45,0.999439
CDH2	CTNNB1,CDH2,46,66,0,4,CTNNB1,86,521,5,9,0.147344
UBE2D3	OTUB1,UBE2D3,27,147,2,19,OTUB1,26,249,2,19,0.766988
ITGAL	ICAM3,ITGAL,19,174,0,7,ICAM3,16,86,5,25,0.435186
UBA5	UBA5,UBA5,30,222,3,23,UBA5,30,222,3,23,0.602162
SDCBP	SDC4,SDCBP,16,74,2,20,SDC4,6,6,1,16,0.999012
KRT15	KRT6C,KRT15,51,90,1,25,KRT6C,53,95,3,8,1.000000
NUP54	NUP54,NUP54,10,40,1,25,NUP54,10,40,1,25,0.999990
STAT5A	STAT5A,STAT5A,21,475,1,36,STAT5A,21,475,1,36,0.833041
CTSF	CTSF,CTSF,10,214,2,34,CTSF,10,214,2,34,0.393402
PPARD	NCOA1,PPARD,17,271,3,34,NCOA1,13,16,0,5,0.788894
KRT15	KRT71,KRT15,47,110,1,25,KRT71,52,104,9,58,1.000000
CYBA	NCF1,CYBA,16,25,0,6,NCF1,28,138,4,17,0.903811
TNFRSF1A	FADD,TNFRSF1A,7,80,1,31,FADD,7,79,0,14,0.984199
KRT15	KRT73,KRT15,49,90,1,25,KRT73,51,95,2,5,1.000000
TSN	TSNAX,TSN,22,218,3,16,TSNAX,21,222,3,16,0.086607
KRT15	KRT79,KRT15,48,110,1,25,KRT79,53,104,1,13,1.000000
PSMC6	PSMC6,PSMC6,49,253,3,8,PSMC6,49,253,3,8,0.071659
CALM2	IQCB1,CALM2,16,61,1,10,IQCB1,12,21,0,40,1.000000
VCL	ABI2,VCL,10,10,0,4,ABI2,15,49,1,32,1.000000
UBE2E3	RNF115,UBE2E3,16,137,1,15,RNF115,14,42,1,6,0.888993
SNAP29	STX3,SNAP29,8,53,0,7,STX3,7,62,1,10,0.907074
MET	ZAP70,MET,13,259,0,9,ZAP70,8,278,1,3,0.380409
HGS	GGA2,HGS,12,135,0,3,GGA2,14,149,2,22,0.680846
RAF1	MAP2K2,RAF1,42,273,0,26,MAP2K2,41,321,4,32,0.969876
FANCD2	FANCI,FANCD2,29,513,1,7,FANCI,23,220,0,37,0.960745
RAF1	MAP2K1,RAF1,45,273,0,26,MAP2K1,52,317,4,46,0.998625
GNB1	GNG5,GNB1,70,339,3,4,GNG5,45,62,2,4,0.048291
RNF8	UBE2N,RNF8,15,139,0,10,UBE2N,14,148,2,18,0.789902
PSEN1	PSENEN,PSEN1,28,215,1,20,PSENEN,31,100,4,10,0.686207
SFN	HDAC4,SFN,24,231,1,12,HDAC4,8,9,0,5,0.912202
RPS18	RPS15,RPS18,17,143,1,15,RPS15,17,120,0,4,0.927937
CASC3	MAGOH,CASC3,7,44,0,0,MAGOH,12,143,1,10,0.657487
ELOC	ASB9,ELOC,20,82,0,0,ASB9,19,257,2,18,0.629887
MYOD1	TCF4,MYOD1,24,63,1,19,TCF4,23,73,0,8,0.999989
CD3E	SYK,CD3E,17,18,2,13,SYK,33,254,2,42,0.994537
VTN	PLAUR,VTN,12,40,0,42,PLAUR,17,259,1,3,0.989857
ZNF250	ZNF175,ZNF250,4,82,0,30,ZNF175,2,81,2,46,0.774225
ARPC3	ACTR3,ARPC3,17,174,0,4,ACTR3,24,416,3,16,0.158528
