SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
PRKACA	Rap1 signalling(R)
PRKACA	Factors involved in megakaryocyte development and platelet production(R)
PRKACA	DAG and IP3 signaling(R)
PRKACA	Signaling events mediated by HDAC Class I(N)
PRKACA	Signaling by EGFR(R)
PRKACA	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction(P)
PRKACA	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
PRKACA	Thromboxane A2 receptor signaling(N)
PRKACA	Cardiac conduction(R)
PRKACA	MAPK6/MAPK4 signaling(R)
PRKACA	Metabotropic glutamate receptor group II pathway(P)
PRKACA	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
PRKACA	Hedgehog 'off' state(R)
PRKACA	DAP12 interactions(R)
PRKACA	Signaling events mediated by VEGFR1 and VEGFR2(N)
PRKACA	Integration of energy metabolism(R)
PRKACA	IL3-mediated signaling events(N)
PRKACA	GMCSF-mediated signaling events(N)
PRKACA	Cilium Assembly(R)
PRKACA	Opioid Signalling(R)
PRKACA	Retinoic acid receptors-mediated signaling(N)
PRKACB	DAG and IP3 signaling(R)
PRKACB	Vasopressin regulates renal water homeostasis via Aquaporins(R)
PRKACB	Signaling by EGFR(R)
PRKACB	Metabolism of carbohydrates(R)
PRKACB	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction(P)
PRKACB	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
PRKACB	Glucocorticoid receptor regulatory network(N)
PRKACB	Signalling by NGF(R)
PRKACB	p75(NTR)-mediated signaling(N)
PRKACB	MAPK6/MAPK4 signaling(R)
PRKACB	Metabotropic glutamate receptor group II pathway(P)
PRKACB	C-type lectin receptors (CLRs)(R)
PRKACB	p73 transcription factor network(N)
PRKACB	Alpha4 beta1 integrin signaling events(N)
PRKACB	Lipid digestion, mobilization, and transport(R)
PRKACB	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
PRKACB	Hedgehog 'off' state(R)
PRKACB	Signaling by PDGF(R)
PRKACB	DAP12 interactions(R)
PRKACB	Integration of energy metabolism(R)
PRKACB	IL3-mediated signaling events(N)
PRKACB	GMCSF-mediated signaling events(N)
PRKACB	Rap1 signalling(R)
PRKACB	Opioid Signalling(R)
PRKACB	Factors involved in megakaryocyte development and platelet production(R)
GSTK1	Phase II conjugation(R)
PRKAB2	reversal of insulin resistance by leptin(B)
PRKAB2	Integration of energy metabolism(R)
PRKAB2	Signaling by Insulin receptor(R)
PRKAB2	Translocation of GLUT4 to the plasma membrane(R)
PRKAB2	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
PRKAB2	chrebp regulation by carbohydrates and camp(B)
PRKAB2	Mitochondrial biogenesis(R)
PRKAB2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
PRKAB2	Macroautophagy(R)
PRKAB2	Generic Transcription Pathway(R)
UNC5A	Netrin-mediated signaling events(N)
UNC5A	Ligand-independent caspase activation via DCC(R)
UNC5A	Netrin-1 signaling(R)
UNC5B	Netrin-mediated signaling events(N)
UNC5B	Ligand-independent caspase activation via DCC(R)
UNC5B	Netrin-1 signaling(R)
SECISBP2	Selenoamino acid metabolism(R)
UNC5C	Netrin-mediated signaling events(N)
UNC5C	Netrin-1 signaling(R)
UNC5D	Netrin-1 signaling(R)
PRKAB1	Direct p53 effectors(N)
PRKAB1	Signaling by Insulin receptor(R)
PRKAB1	Translocation of GLUT4 to the plasma membrane(R)
PRKAB1	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
PRKAB1	Mitochondrial biogenesis(R)
PRKAB1	Macroautophagy(R)
PRKAB1	Generic Transcription Pathway(R)
ZNF14	Validated nuclear estrogen receptor beta network(N)
SIGIRR	Toll-Like Receptors Cascades(R)
BCR	Regulation of RAC1 activity(N)
BCR	Signaling by Rho GTPases(R)
BCR	Regulation of RhoA activity(N)
SCO1	The citric acid (TCA) cycle and respiratory electron transport(R)
SCO1	Generic Transcription Pathway(R)
SCO2	The citric acid (TCA) cycle and respiratory electron transport(R)
SCO2	Generic Transcription Pathway(R)
DDIT3	Validated targets of C-MYC transcriptional repression(N)
DDIT3	Unfolded Protein Response (UPR)(R)
DDIT3	ATF-2 transcription factor network(N)
DDIT3	Oxidative stress response(P)
DDIT3	Signaling mediated by p38-alpha and p38-beta(N)
DDIT3	p38 mapk signaling pathway(B)
DDIT4	mTOR signaling pathway(N)
DDIT4	Direct p53 effectors(N)
DDIT4	Generic Transcription Pathway(R)
AGTR1	Arf6 signaling events(N)
AGTR1	GPCR ligand binding(R)
AGTR1	Arf6 trafficking events(N)
AGTR1	angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(B)
AGTR1	GPCR downstream signaling(R)
AGTR1	Gastrin-CREB signalling pathway via PKC and MAPK(R)
AGTR1	Angiopoietin receptor Tie2-mediated signaling(N)
ORAI1	Platelet homeostasis(R)
ORAI1	TCR signaling in na&#xef;ve CD8+ T cells(N)
ORAI1	TCR signaling in na&#xef;ve CD4+ T cells(N)
ORAI1	Cardiac conduction(R)
ORAI1	Signaling by the B Cell Receptor (BCR)(R)
AGTR2	roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(B)
AGTR2	role of ß-arrestins in the activation and targeting of map kinases(B)
AGTR2	activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor(B)
AGTR2	role of egf receptor transactivation by gpcrs in cardiac hypertrophy(B)
AGTR2	activation of camp-dependent protein kinase pka(B)
AGTR2	bioactive peptide induced signaling pathway(B)
AGTR2	GPCR ligand binding(R)
AGTR2	chrebp regulation by carbohydrates and camp(B)
AGTR2	GPCR downstream signaling(R)
AGTR2	ß-arrestins in gpcr desensitization(B)
AGTR2	ion channels and their functional role in vascular endothelium(B)
SF1	Processing of Capped Intron-Containing Pre-mRNA(R)
UNC119B	Cilium Assembly(R)
SET	Regulation of mRNA stability by proteins that bind AU-rich elements(R)
SET	Mitotic Prophase(R)
SET	Validated nuclear estrogen receptor alpha network(N)
COL13A1	Extracellular matrix organization(R)
COL13A1	Integrin signalling pathway(P)
SHMT2	Metabolism of water-soluble vitamins and cofactors(R)
cDNA FLJ54349, highly similar to Vesicle-fusing ATPase (EC 3.6.4.6) {ECO:0000313|EMBL:BAG57874.1}	gamma-aminobutyric acid receptor life cycle pathway(B)
B3GLCT	O-linked glycosylation(R)
ADAMTS14	Extracellular matrix organization(R)
ADAMTS13	O-linked glycosylation(R)
T	Validated transcriptional targets of deltaNp63 isoforms(N)
T	Regulation of nuclear beta catenin signaling and target gene transcription(N)
T	Wnt signaling pathway(P)
RDH11	Visual phototransduction(R)
RDH11	Signaling by Retinoic Acid(R)
RDH11	Retinoid metabolism and transport(R)
RDH10	Visual phototransduction(R)
RDH10	Signaling by Retinoic Acid(R)
SFN	Intrinsic Pathway for Apoptosis(R)
SFN	p38 signaling mediated by MAPKAP kinases(N)
SFN	Signaling by Rho GTPases(R)
SFN	Trk receptor signaling mediated by PI3K and PLC-gamma(N)
SFN	a6b1 and a6b4 Integrin signaling(N)
SFN	p73 transcription factor network(N)
SFN	p53 pathway(P)
SFN	Insulin-mediated glucose transport(N)
SFN	ErbB1 downstream signaling(N)
SFN	Parkinson disease(P)
SFN	Class I PI3K signaling events mediated by Akt(N)
SFN	Role of Calcineurin-dependent NFAT signaling in lymphocytes(N)
SFN	PDGFR-beta signaling pathway(N)
SFN	Direct p53 effectors(N)
SFN	FoxO family signaling(N)
SFN	Translocation of GLUT4 to the plasma membrane(R)
SFN	cell cycle: g2/m checkpoint(B)
SFN	mTOR signaling pathway(N)
SFN	Validated transcriptional targets of deltaNp63 isoforms(N)
SFN	Regulation of nuclear beta catenin signaling and target gene transcription(N)
SFN	Glucocorticoid receptor regulatory network(N)
SFN	estrogen responsive protein efp controls cell cycle and breast tumors growth(B)
SFN	LKB1 signaling events(N)
SFN	Cell Cycle Checkpoints(R)
SFN	Generic Transcription Pathway(R)
HCRT	GPCR downstream signaling(R)
HCRT	Gastrin-CREB signalling pathway via PKC and MAPK(R)
HCRT	GPCR ligand binding(R)
GSTM4	Phase II conjugation(R)
GSTM3	Phase II conjugation(R)
GSTM2	Phase II conjugation(R)
GSTM1	Phase II conjugation(R)
GSTM1	C-MYB transcription factor network(N)
PRPF38A	Processing of Capped Intron-Containing Pre-mRNA(R)
L1CAM	Cell surface interactions at the vascular wall(R)
L1CAM	Beta3 integrin cell surface interactions(N)
L1CAM	L1CAM interactions(R)
DHFR	Mitotic G1-G1/S phases(R)
DHFR	Metabolism of nitric oxide(R)
DHFR	E2F transcription factor network(N)
DHFR	Metabolism of water-soluble vitamins and cofactors(R)
MOV10	DAP12 interactions(R)
MOV10	PIP3 activates AKT signaling(R)
MOV10	MAPK6/MAPK4 signaling(R)
MOV10	Signaling by EGFR(R)
MOV10	Oncogene Induced Senescence(R)
MOV10	Signaling by the B Cell Receptor (BCR)(R)
MOV10	Pre-NOTCH Expression and Processing(R)
MOV10	Fc epsilon receptor (FCERI) signaling(R)
MOV10	Beta-catenin independent WNT signaling(R)
MOV10	Signalling by NGF(R)
MOV10	Signaling by SCF-KIT(R)
MOV10	Signaling by PDGF(R)
MOV10	Generic Transcription Pathway(R)
MOV10	Oxidative Stress Induced Senescence(R)
FXYD4	Ion channel transport(R)
FXYD4	Cardiac conduction(R)
LAS1L	rRNA processing(R)
FXYD3	Ion channel transport(R)
FXYD3	Cardiac conduction(R)
FXYD2	Ion channel transport(R)
FXYD2	Cardiac conduction(R)
FXYD1	Ion channel transport(R)
FXYD1	Cardiac conduction(R)
SFXN3	Validated targets of C-MYC transcriptional repression(N)
FXYD7	Ion channel transport(R)
FXYD7	Cardiac conduction(R)
HYOU1	Binding and Uptake of Ligands by Scavenger Receptors(R)
HYOU1	Unfolded Protein Response (UPR)(R)
STRN	Plasma membrane estrogen receptor signaling(N)
FXYD6	Ion channel transport(R)
FXYD6	Cardiac conduction(R)
DZIP1	Hedgehog 'on' state(R)
GSTM5	Phase II conjugation(R)
KCNC1	Potassium Channels(R)
KCNC2	Integration of energy metabolism(R)
KCNC2	Potassium Channels(R)
KCNC3	Potassium Channels(R)
KCNC4	Potassium Channels(R)
PRKAG1	akap95 role in mitosis and chromosome dynamics(B)
PRKAG1	reversal of insulin resistance by leptin(B)
PRKAG1	rho-selective guanine exchange factor akap13 mediates stress fiber formation(B)
PRKAG1	Signaling by Insulin receptor(R)
PRKAG1	Translocation of GLUT4 to the plasma membrane(R)
PRKAG1	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
PRKAG1	chrebp regulation by carbohydrates and camp(B)
PRKAG1	protein kinase a at the centrosome(B)
PRKAG1	Mitochondrial biogenesis(R)
PRKAG1	Macroautophagy(R)
PRKAG1	Generic Transcription Pathway(R)
PRKAG2	reversal of insulin resistance by leptin(B)
PRKAG2	Integration of energy metabolism(R)
PRKAG2	Signaling by Insulin receptor(R)
PRKAG2	Translocation of GLUT4 to the plasma membrane(R)
PRKAG2	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
PRKAG2	chrebp regulation by carbohydrates and camp(B)
PRKAG2	Mitochondrial biogenesis(R)
PRKAG2	Fatty acid, triacylglycerol, and ketone body metabolism(R)
PRKAG2	Macroautophagy(R)
PRKAG2	Generic Transcription Pathway(R)
ZNF45	Generic Transcription Pathway(R)
SHB	Signaling by VEGF(R)
SHB	PDGFR-alpha signaling pathway(N)
SHB	Signaling events mediated by VEGFR1 and VEGFR2(N)
SHB	EPH-Ephrin signaling(R)
MMP21	Alzheimer disease-presenilin pathway(P)
PRKAG3	Signaling by Insulin receptor(R)
PRKAG3	Translocation of GLUT4 to the plasma membrane(R)
PRKAG3	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
PRKAG3	Mitochondrial biogenesis(R)
PRKAG3	Macroautophagy(R)
PRKAG3	Generic Transcription Pathway(R)
BBC3	Intrinsic Pathway for Apoptosis(R)
BBC3	Direct p53 effectors(N)
BBC3	Validated transcriptional targets of TAp63 isoforms(N)
BBC3	p73 transcription factor network(N)
BBC3	Generic Transcription Pathway(R)
cDNA FLJ53003, highly similar to Presenilin-1 (EC 3.4.23.-) {ECO:0000313|EMBL:BAH14071.1}	generation of amyloid b-peptide by ps1(B)
cDNA FLJ53003, highly similar to Presenilin-1 (EC 3.4.23.-) {ECO:0000313|EMBL:BAH14071.1}	segmentation clock(B)
cDNA FLJ53003, highly similar to Presenilin-1 (EC 3.4.23.-) {ECO:0000313|EMBL:BAH14071.1}	proteolysis and signaling pathway of notch(B)
cDNA FLJ53003, highly similar to Presenilin-1 (EC 3.4.23.-) {ECO:0000313|EMBL:BAH14071.1}	g-secretase mediated erbb4 signaling pathway(B)
MMP20	Extracellular matrix organization(R)
MMP20	Alzheimer disease-presenilin pathway(P)
SHF	PDGFR-alpha signaling pathway(N)
MMP25	Alzheimer disease-presenilin pathway(P)
MMP25	Neutrophil degranulation(R)
SHH	FOXA1 transcription factor network(N)
SHH	Validated transcriptional targets of TAp63 isoforms(N)
SHH	Signaling events mediated by the Hedgehog family(N)
SHH	GPCR ligand binding(R)
SHH	Hedgehog 'on' state(R)
SHH	Hedgehog signaling events mediated by Gli proteins(N)
SHH	Glypican 3 network(N)
SHH	Hedgehog ligand biogenesis(R)
SHH	Hedgehog signaling pathway(P)
SHH	sonic hedgehog receptor ptc1 regulates cell cycle(B)
MMP24	Alzheimer disease-presenilin pathway(P)
MMP27	Alzheimer disease-presenilin pathway(P)
MMP28	Alzheimer disease-presenilin pathway(P)
NEFL	DAP12 interactions(R)
NEFL	Signaling by VEGF(R)
NEFL	Signaling by EGFR(R)
NEFL	RET signaling(R)
NEFL	Signaling by Insulin receptor(R)
NEFL	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
NEFL	NCAM signaling for neurite out-growth(R)
NEFL	Signaling by Leptin(R)
NEFL	Fc epsilon receptor (FCERI) signaling(R)
NEFL	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
NEFL	Signaling by Interleukins(R)
NEFL	Gastrin-CREB signalling pathway via PKC and MAPK(R)
NEFL	Signalling by NGF(R)
NEFL	Signaling by SCF-KIT(R)
NEFL	RAF/MAP kinase cascade(R)
NEFL	Signaling by PDGF(R)
APC2	Wnt signaling pathway(P)
MYBPC3	Striated Muscle Contraction(R)
BPGAP1	Signaling by Rho GTPases(R)
MYBPC1	Striated Muscle Contraction(R)
KCND1	Potassium Channels(R)
KCND1	Cardiac conduction(R)
MYBPC2	Striated Muscle Contraction(R)
GSTO2	Phase II conjugation(R)
GSTO2	Metabolism of water-soluble vitamins and cofactors(R)
KCND2	Potassium Channels(R)
KCND2	Cardiac conduction(R)
KCND3	Potassium Channels(R)
KCND3	Cardiac conduction(R)
GSTO1	Phase II conjugation(R)
BGN	Metabolism of carbohydrates(R)
BGN	Endogenous TLR signaling(N)
BGN	Extracellular matrix organization(R)
MMP10	Extracellular matrix organization(R)
MMP12	Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling(N)
MMP12	Extracellular matrix organization(R)
MMP12	Alzheimer disease-presenilin pathway(P)
MMP11	Extracellular matrix organization(R)
MMP14	HIF-2-alpha transcription factor network(N)
MMP14	Extracellular matrix organization(R)
MMP14	Alzheimer disease-presenilin pathway(P)
MMP14	inhibition of matrix metalloproteinases(B)
MMP13	Plasminogen activating cascade(P)
MMP13	Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling(N)
MMP13	Extracellular matrix organization(R)
MMP13	Alzheimer disease-presenilin pathway(P)
MMP16	Extracellular matrix organization(R)
MMP16	Alzheimer disease-presenilin pathway(P)
MMP15	Extracellular matrix organization(R)
MMP15	Alzheimer disease-presenilin pathway(P)
RAPGEF1	E-cadherin signaling in the nascent adherens junction(N)
RAPGEF1	PDGFR-beta signaling pathway(N)
RAPGEF1	Signaling events mediated by focal adhesion kinase(N)
RAPGEF1	Reelin signaling pathway(N)
RAPGEF1	EPO signaling pathway(N)
RAPGEF1	Neurotrophic factor-mediated Trk receptor signaling(N)
RAPGEF1	PDGFR-alpha signaling pathway(N)
RAPGEF1	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)(N)
RAPGEF1	IFN-gamma pathway(N)
RAPGEF1	Signaling by MET(R)
RAPGEF1	Nectin adhesion pathway(N)
RAPGEF1	Signaling by Interleukins(R)
RAPGEF1	Signalling by NGF(R)
RAPGEF1	Signaling by PDGF(R)
RAPGEF1	Integrin signalling pathway(P)
RAPGEF1	Insulin Pathway(N)
RAPGEF2	DAP12 interactions(R)
RAPGEF2	Signaling by VEGF(R)
RAPGEF2	Signaling by EGFR(R)
RAPGEF2	RET signaling(R)
RAPGEF2	Signaling by Insulin receptor(R)
RAPGEF2	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R)
RAPGEF2	NCAM signaling for neurite out-growth(R)
RAPGEF2	Signaling by Leptin(R)
RAPGEF2	Fc epsilon receptor (FCERI) signaling(R)
RAPGEF2	Signaling by Interleukins(R)
RAPGEF2	Gastrin-CREB signalling pathway via PKC and MAPK(R)
RAPGEF2	Signalling by NGF(R)
RAPGEF2	Signaling by SCF-KIT(R)
RAPGEF2	RAF/MAP kinase cascade(R)
RAPGEF2	Signaling by PDGF(R)
MMP19	Extracellular matrix organization(R)
MMP19	Alzheimer disease-presenilin pathway(P)
CRYAA	Angiogenesis(P)
CRYAA	VEGF signaling pathway(P)
cDNA FLJ60440, highly similar to Potassium voltage-gated channel subfamily KQT member 2 {ECO:0000313	ion channels and their functional role in vascular endothelium(B)
HCST	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
CRYAB	Cellular response to heat stress(R)
RAPGEF3	Platelet Aggregation (Plug Formation)(R)
RAPGEF3	Integration of energy metabolism(R)
RAPGEF3	Integrin alphaIIb beta3 signaling(R)
RAPGEF3	Rap1 signalling(R)
RAPGEF4	Platelet Aggregation (Plug Formation)(R)
RAPGEF4	Integration of energy metabolism(R)
RAPGEF4	Integrin alphaIIb beta3 signaling(R)
RAPGEF4	Rap1 signalling(R)
APCS	Amyloid fiber formation(R)
cDNA FLJ76650, highly similar to Human NF1 N-isoform-exon11 {ECO:0000313|EMBL:BAF82625.1}	chromatin remodeling by hswi/snf atp-dependent complexes(B)
PKN3	Alzheimer disease-amyloid secretase pathway(P)
GSTP1	Phase II conjugation(R)
GSTP1	Detoxification of Reactive Oxygen Species(R)
GSTP1	Neutrophil degranulation(R)
KCNA1	Potassium Channels(R)
KCNA2	Potassium Channels(R)
PTAFR	Interferon gamma signaling(R)
PTAFR	GPCR downstream signaling(R)
PTAFR	Signaling by Interleukins(R)
PTAFR	Gastrin-CREB signalling pathway via PKC and MAPK(R)
PTAFR	GPCR ligand binding(R)
PTAFR	Neutrophil degranulation(R)
ADAM22	LGI-ADAM interactions(R)
KCNA3	Potassium Channels(R)
ADAM21	Fertilization(R)
KCNA4	Potassium Channels(R)
KCNA5	Potassium Channels(R)
ADAM20	Fertilization(R)
KCNA6	Potassium Channels(R)
KCNA7	Potassium Channels(R)
HEL-36	lissencephaly gene (lis1) in neuronal migration and development(B)
ADAM28	Alpha4 beta1 integrin signaling events(N)
cDNA FLJ44538 fis, clone UTERU3005159, highly similar to TNF receptor-associated factor 5 {ECO:00003	yaci and bcma stimulation of b cell immune responses(B)
PLAGL1	Generic Transcription Pathway(R)
ADAM23	LGI-ADAM interactions(R)
STX6	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
STX5	ER to Golgi Anterograde Transport(R)
STX5	Asparagine N-linked glycosylation(R)
STX5	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
RICTOR	DAP12 interactions(R)
RICTOR	Signaling by VEGF(R)
RICTOR	CXCR4-mediated signaling events(N)
RICTOR	PIP3 activates AKT signaling(R)
RICTOR	Signaling by EGFR(R)
RICTOR	Signaling by the B Cell Receptor (BCR)(R)
RICTOR	mTOR signaling pathway(N)
RICTOR	Fc epsilon receptor (FCERI) signaling(R)
RICTOR	CXCR3-mediated signaling events(N)
RICTOR	Costimulation by the CD28 family(R)
RICTOR	Integrin-linked kinase signaling(N)
RICTOR	ErbB1 downstream signaling(N)
RICTOR	Signalling by NGF(R)
RICTOR	Signaling by SCF-KIT(R)
RICTOR	Class I PI3K signaling events mediated by Akt(N)
RICTOR	Signaling by PDGF(R)
RICTOR	Generic Transcription Pathway(R)
STX4	trans-Golgi Network Vesicle Budding(R)
STX4	Response to elevated platelet cytosolic Ca2+(R)
STX4	Signaling by Interleukins(R)
STX4	Stabilization and expansion of the E-cadherin adherens junction(N)
STX4	Class I MHC mediated antigen processing & presentation(R)
STX4	Translocation of GLUT4 to the plasma membrane(R)
STX4	Insulin-mediated glucose transport(N)
STX3	Beta3 adrenergic receptor signaling pathway(P)
STX3	Signaling by Interleukins(R)
STX3	5HT4 type receptor mediated signaling pathway(P)
STX3	Oxytocin receptor mediated signaling pathway(P)
STX3	5HT3 type receptor mediated signaling pathway(P)
STX3	Beta1 adrenergic receptor signaling pathway(P)
STX3	Beta2 adrenergic receptor signaling pathway(P)
STX3	Cortocotropin releasing factor receptor signaling pathway(P)
BID	Intrinsic Pathway for Apoptosis(R)
BID	Direct p53 effectors(N)
BID	Ceramide signaling pathway(N)
BID	FAS signaling pathway(P)
BID	FAS (CD95) signaling pathway(N)
BID	HIV-1 Nef: Negative effector of Fas and TNF-alpha(N)
BID	ATM pathway(N)
BID	Caspase cascade in apoptosis(N)
BID	Generic Transcription Pathway(R)
SPDEF	Regulation of Androgen receptor activity(N)
MBD3	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription(R)
MBD3	Signaling events mediated by HDAC Class I(N)
MBD3	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression(R)
MBD3	Chromatin modifying enzymes(R)
MBD3	Generic Transcription Pathway(R)
EGLN1	HIF-1-alpha transcription factor network(N)
EGLN1	HIF-2-alpha transcription factor network(N)
EGLN1	Hypoxia response via HIF activation(P)
EGLN1	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha(N)
EGLN1	Regulation of Hypoxia-inducible Factor (HIF) by oxygen(R)
MBD4	Base-Excision Repair, AP Site Formation(R)
MBD4	Resolution of Abasic Sites (AP sites)(R)
EGLN3	HIF-1-alpha transcription factor network(N)
EGLN3	HIF-2-alpha transcription factor network(N)
EGLN3	Hypoxia response via HIF activation(P)
EGLN3	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha(N)
EGLN3	Regulation of Hypoxia-inducible Factor (HIF) by oxygen(R)
MBD5	Deubiquitination(R)
MBD6	Deubiquitination(R)
EGLN2	HIF-2-alpha transcription factor network(N)
EGLN2	Hypoxia response via HIF activation(P)
EGLN2	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha(N)
EGLN2	Regulation of Hypoxia-inducible Factor (HIF) by oxygen(R)
PKLR	chrebp regulation by carbohydrates and camp(B)
PKLR	Metabolism of carbohydrates(R)
PKLR	Integration of energy metabolism(R)
PKLR	Regulation of beta-cell development(R)
PKLR	FOXA2 and FOXA3 transcription factor networks(N)
KCNB1	Integration of energy metabolism(R)
KCNB1	Potassium Channels(R)
BIK	Apoptosis signaling pathway(P)
BIK	role of mitochondria in apoptotic signaling(B)
KCNB2	Potassium Channels(R)
MCRS1	Chromatin modifying enzymes(R)
MCRS1	Deubiquitination(R)
MCRS1	Nucleotide Excision Repair(R)
MBD2	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription(R)
MBD2	Signaling events mediated by HDAC Class I(N)
MBD2	NoRC negatively regulates rRNA expression(R)
SCTR	GPCR downstream signaling(R)
SCTR	GPCR ligand binding(R)
BMP8A	TGF-beta signaling pathway(P)
BMP8B	TGF-beta signaling pathway(P)
ADAM30	Fertilization(R)
TARBP2	Gene Silencing by RNA(R)
ARCN1	ER to Golgi Anterograde Transport(R)
ARCN1	Asparagine N-linked glycosylation(R)
ARCN1	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
SKI	Signaling by BMP(R)
SKI	Signaling by TGF-beta Receptor Complex(R)
SKI	Regulation of nuclear SMAD2/3 signaling(N)
SKI	C-MYB transcription factor network(N)
SKI	TGF-beta signaling pathway(P)
SKI	BMP receptor signaling(N)
